admin_level,geo_admin0,adm0,geo_admin1,name,mean,l,u,pmean,ci95,pu,pl,psd
ADM1,th,Thailand,36821470B5914712447243,Nan Province,13353,4557,16441,3.197880684118728,12.35546156294509,3.9463540824897,1.09717619180725,3.596795962383881
ADM1,th,Thailand,36821470B61102131347890,Chaiyaphum Province,14499,6538,18165,1.810633561070847,5.639434141864099,2.274642849806143,0.8174406735011029,1.560163114524711
ADM1,th,Thailand,36821470B61535785460971,Nakhon Nayok Province,4682,2217,5863,1.8013227587535845,5.345615532968651,2.269605687995345,0.8546348782452671,1.4539140294929935
ADM1,th,Thailand,36821470B62746704581928,Sakon Nakhon Province,15488,5608,19055,1.9090179362683528,7.213777307132071,2.346392086019599,0.694137856878447,2.065373654208672
ADM1,th,Thailand,36821470B63846977816929,Chiang Mai Province,82914,27097,102756,4.513954555696494,17.768713065492875,5.598877979452669,1.4979009443703108,5.050586323435436
ADM1,th,Thailand,36821470B67709940285974,Rayong Province,18851,8298,23939,1.6184613829211092,4.996791434195969,2.048645204690079,0.7282434823715727,1.387959800726143
ADM1,th,Thailand,36821470B68193181212793,Kamphaeng Phet Province,22945,10136,28871,2.7523349414398837,8.890440684908251,3.4531246182259165,1.2032375964208115,2.4489918939816104
ADM1,th,Thailand,36821470B69138836783186,Sing Buri Province,3431,1499,4284,1.9270614813722449,6.173614231102643,2.419204198477202,0.842790619853909,1.7087863991304024
ADM1,th,Thailand,36821470B70125171159181,Phayao Province,12764,3987,15477,3.747189315995437,15.308336001000963,4.547572420769632,1.179433946323987,4.527840442455744
ADM1,th,Thailand,36821470B70822371500930,Nakhon Sawan Province,19777,8732,24819,2.239456197040949,7.193540029249946,2.811879533632386,0.9792024041524756,1.9853362938036752
ADM1,th,Thailand,36821470B72527469055282,Lampang Province,24350,8821,30221,3.699085110709157,13.85321076960079,4.586216252235939,1.324199244851856,3.993141928019314
ADM1,th,Thailand,36821470B73497999622137,Phuket Province,42574,12961,53393,5.7161400397930775,23.482690439100715,7.145051969369391,1.7296443325743105,6.4397479010076335
ADM1,th,Thailand,36821470B76785328950223,Samut Songkhram Province,2696,1122,3411,1.7589443902118538,5.773508079626207,2.2276202898075663,0.7255803123968854,1.583406658910777
ADM1,th,Thailand,36821470B79775212523117,Phangnga Province,12881,3766,16224,5.339133829548874,22.317281580988617,6.702402778311282,1.5522939315804765,6.132577022802914
ADM1,th,Thailand,36821470B80723746033550,Pattani Province,27650,11630,35295,5.15232562605202,16.91039152072843,6.592526712595476,2.1636590916679257,4.555810248551082
ADM1,th,Thailand,36821470B81436549800024,Prachin Buri Province,12668,6301,15982,1.7180493792660778,4.853718680631771,2.1623705300893916,0.8511316185335007,1.3200380885523393
ADM1,th,Thailand,36821470B82174860486434,Khon Kaen Province,26909,12787,33761,1.613133358940232,4.847602884936139,2.020724889388972,0.7579040543596831,1.355385318919063
ADM1,th,Thailand,36821470B83154897849888,Krabi Province,17166,5570,21610,5.517151108667069,21.64311213803584,6.969679317590052,1.8015546620857967,5.930957372730167
ADM1,th,Thailand,36821470B83466517453713,Narathiwat Province,31043,11850,39600,5.167991329237989,17.918961247742526,6.615101015853037,1.9751709613317516,4.901487396398294
ADM1,th,Thailand,36821470B83614774840492,Satun Province,15690,6719,19947,5.761679431754098,18.498708031708443,7.340374534253379,2.4642734324744655,4.992452905118083
ADM1,th,Thailand,36821470B86267767837341,Chiang Rai Province,46892,13369,57047,4.158616595128809,17.71434863033015,5.068430422014685,1.1967346343366043,5.217668262423115
ADM1,th,Thailand,36821470B86493246441872,Yasothon Province,4017,1650,5053,0.9931467522724304,3.322597720374933,1.2453011086920471,0.4100334422240971,0.934572435014451
ADM1,th,Thailand,36821470B8778739097958,Ubon Ratchathani Province,11549,4824,14545,0.6912019163804268,2.3127630738236307,0.8668107052241801,0.28706854081485483,0.6540177006591402
ADM1,th,Thailand,36821470B89419110435533,Chanthaburi Province,5753,2640,7273,1.3354866472279547,3.9970351698536097,1.684940243687708,0.6218969685796448,1.1065681390146112
ADM1,th,Thailand,36821470B90988665263587,Nakhon Pathom Province,18796,8548,23717,1.7064493840598849,5.321288037828677,2.151488348335672,0.758703684156177,1.4738371646832815
ADM1,th,Thailand,36821470B91271468807469,Chachoengsao Province,13593,6657,17117,1.6976682239592784,4.779648142297405,2.137282478709236,0.8420342987737791,1.3052747385748629
ADM1,th,Thailand,36821470B95617199145557,Chai Nat Province,5092,2174,6398,2.0945403607231876,6.841804821968482,2.6365157063971916,0.893838006891352,1.8955035588924172
ADM1,th,Thailand,36821470B96343765829948,Roi Et Province,9814,4291,12399,1.0987989990630096,3.526230559676705,1.385056822125431,0.4782082616991287,0.9791611631538828
ADM1,th,Thailand,36821470B96554920735688,Ranong Province,14406,3932,17344,4.289447867973396,18.855437150233847,5.274903267396799,1.1728497859543767,5.169308056049973
ADM1,th,Thailand,36821470B98454587472110,Kalasin,9662,4156,12031,1.4411630778009206,4.7774563301781745,1.7958426243027603,0.6172295998222805,1.3293383832314514
ADM1,th,Thailand,36821470B99224408335371,Nonthaburi Province,33833,15823,42170,1.6423196937146454,4.965447834710968,2.0623317045469824,0.7635718945023162,1.3592290702869498
